col_labels,col_units
UCACCSD,
Batch Name,
Scan Name,
Nut Length, [mm]
Nut Height, [mm]
Nut Width, [mm]
Nut Volume, [mm$^3$]
Nut VA3D,
Nut Feret Ratio,
Nut Surface Area, [mm$^2$]
Nut Sphericity,
Nut Convex Surface Area, [mm$^2$]
Nut Convex Volume, [mm$^3$]
Nut Ratio Convex Area, [%]
Nut Ratio Convex Volume, [%]
Krumbein Index,
Sneed Index,
Air Volume, [mm$^3$]
Kernel Volume, [mm$^3$]
Shell Volume, [mm$^3$]
Packing Volume, [mm$^3$]
Air Vol Ratio, [%]
Kernel Vol Ratio, [%]
Shell Vol Ratio, [%]
Packing Vol Ratio, [%]
Shell Rugosity,
Shell Thickness, [mm]
Protruding Shell Ratio, [%]
Protruding Shell Volume, [mm$^3$]
Kernel Length, [mm]
Kernel Height, [mm]
Kernel Width, [mm]
Kernel Surface Area, [mm$^2$]
Kernel Convex Volume, [mm$^3$]
Kernel Convex Area, [mm$^2$]
Kernel Ratio Convex Area, [%]
Kernel Ratio Convex Volume, [%]
Kernel Cavity Area, [mm$^2$]
Kernel Cavity Volume, [mm$^3$]
Kernel Arc Height, [mm]
Kernel Cavity Height, [mm]
Kernel Sphericity,
Kernel Ratio Cavity Area, [%]
Kernel Ratio Cavity Volume, [%]
Density Kernel vs Shell, [%]
Density Packing vs Shell, [%]
Density Packing vs Kernel, [%]
Kernel Feret Ratio,
Nut Vol wo Air, [mm$^3$]
Kernel Vol Ratio wo Air, [%]
Packing Vol Ratio wo Air,[%]
Shell Vol Ratio wo Air, [%]
Shell Integrity,
Shell Texture,
Shell Color,
Shell Seal,
Shell Strength,
Shell Thickness,
Packing Tissue,
Kernel Fill,
Tip Shrivel, [%]
Minor Shrivel, [%]
Major Shrivel, [%]
Plumpness,
Ease Of Removal,
Kernel Weight Ratio, [%]
Blank, [%]
