Phenotype,Units,mean,std,min,max,25%,75%,CV,QCD
Nut Ratio Convex Volume, [%],0.96,0.01,0.86,0.98,0.95,0.97,0.02,0.01
Nut Ratio Convex Area, [%],0.63,0.01,0.49,0.66,0.63,0.64,0.02,0.01
Shell Rugosity,,1.66,0.05,1.56,2.30,1.62,1.69,0.03,0.02
Nut Sphericity,,0.60,0.02,0.44,0.64,0.59,0.62,0.03,0.02
Density Kernel vs Shell, [%],0.86,0.04,0.79,1.09,0.84,0.88,0.04,0.02
Sneed Index,,0.92,0.03,0.83,1.00,0.90,0.94,0.03,0.02
Density Packing vs Kernel, [%],0.71,0.03,0.61,0.85,0.68,0.73,0.05,0.03
Density Packing vs Shell, [%],0.61,0.04,0.54,0.77,0.58,0.63,0.06,0.04
Krumbein Index,,0.90,0.05,0.75,1.00,0.87,0.93,0.05,0.04
Kernel Sphericity,,0.25,0.02,0.20,0.36,0.24,0.26,0.06,0.04
Kernel Ratio Convex Area, [%],0.38,0.02,0.30,0.53,0.36,0.40,0.06,0.04
Nut Feret Ratio,,1.21,0.10,1.00,1.56,1.14,1.27,0.08,0.05
Kernel Ratio Convex Volume, [%],0.56,0.05,0.38,0.69,0.54,0.60,0.09,0.05
Nut Width, [mm],32.01,2.75,23.14,41.00,30.19,33.70,0.09,0.06
Kernel Vol Ratio wo Air, [%],0.54,0.05,0.35,0.66,0.51,0.57,0.09,0.06
Kernel Feret Ratio,,1.25,0.11,1.01,1.70,1.18,1.31,0.08,0.06
Nut Height, [mm],33.42,2.96,25.60,44.14,31.39,35.23,0.09,0.06
Nut VA3D,,4.59,0.50,3.78,12.14,4.27,4.83,0.11,0.06
Kernel Height, [mm],28.27,2.75,20.84,40.14,26.45,29.94,0.10,0.06
Kernel Length, [mm],30.37,2.96,18.18,40.37,28.40,32.35,0.10,0.07
Kernel Width, [mm],24.75,2.64,15.65,33.99,23.01,26.33,0.11,0.07
Nut Length, [mm],38.49,4.07,26.26,53.22,35.67,41.15,0.11,0.07
Packing Vol Ratio wo Air,[%],0.20,0.03,0.12,0.33,0.18,0.22,0.14,0.08
Packing Vol Ratio, [%],0.13,0.02,0.07,0.23,0.11,0.14,0.15,0.08
Kernel Vol Ratio, [%],0.34,0.05,0.18,0.48,0.31,0.37,0.15,0.09
Kernel Arc Height, [mm],11.65,2.26,0.10,19.60,10.67,12.82,0.19,0.09
Kernel Cavity Height, [mm],15.34,2.83,4.92,36.79,13.73,16.83,0.18,0.10
Shell Vol Ratio wo Air, [%],0.26,0.04,0.15,0.47,0.23,0.29,0.16,0.11
Kernel Ratio Cavity Area, [%],0.03,0.01,0.01,0.07,0.03,0.03,0.20,0.11
Nut Convex Surface Area, [mm$^2$],3674.81,608.99,2057.32,6067.30,3257.35,4043.75,0.17,0.11
Kernel Convex Area, [mm$^2$],2572.46,427.14,1277.08,3934.10,2280.99,2846.86,0.17,0.11
Nut Surface Area, [mm$^2$],5798.97,1009.95,3316.39,9978.38,5116.42,6400.80,0.17,0.11
Air Vol Ratio, [%],0.37,0.07,0.14,0.61,0.32,0.41,0.18,0.12
Shell Thickness, [mm],0.87,0.16,0.50,1.61,0.76,0.97,0.19,0.12
Kernel Surface Area, [mm$^2$],6773.05,1276.05,2826.71,10991.42,5904.86,7599.39,0.19,0.13
Shell Vol Ratio, [%],0.16,0.03,0.09,0.33,0.14,0.18,0.20,0.13
Nut Vol wo Air, [mm$^3$],12228.63,2761.45,4293.93,21667.77,10407.81,14068.68,0.23,0.15
Nut Volume, [mm$^3$],19560.23,4757.63,7904.65,41131.98,16299.75,22234.87,0.24,0.15
Kernel Ratio Cavity Volume, [%],0.02,0.01,0.00,0.06,0.02,0.03,0.25,0.15
Kernel Volume, [mm$^3$],6565.61,1588.88,2087.12,12232.49,5542.11,7650.08,0.24,0.16
Nut Convex Volume, [mm$^3$],20511.10,5102.21,8469.54,43345.96,16932.05,23441.34,0.25,0.16
Packing Volume, [mm$^3$],2475.12,675.77,954.18,6320.90,2031.80,2813.88,0.27,0.16
Kernel Convex Volume, [mm$^3$],11680.20,2899.82,4006.68,21760.85,9709.62,13501.47,0.25,0.16
Kernel Cavity Area, [mm$^2$],201.19,53.88,39.87,475.81,164.70,231.82,0.27,0.17
Shell Volume, [mm$^3$],3187.90,885.70,1139.43,7445.79,2567.82,3723.64,0.28,0.18
Air Volume, [mm$^3$],7332.14,2628.32,2126.17,21811.80,5519.99,8680.90,0.36,0.22
Kernel Cavity Volume, [mm$^3$],288.01,113.79,12.11,836.10,207.18,346.64,0.40,0.25
Protruding Shell Ratio, [%],0.06,0.03,0.01,0.19,0.04,0.07,0.46,0.30
Protruding Shell Volume, [mm$^3$],187.04,117.85,12.07,1077.28,106.20,237.31,0.63,0.38
